2026/09/21 22:11:17 INF MediaMTX v1.17.1, windows, amd64
2026/09/21 22:11:17 INF configuration loaded from C:\Omsystems\scratch\mediamtx-live-hotfix.yml
2026/09/21 22:41:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:37 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:37 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:38 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:39 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:40 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:44 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:47 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:47 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:54 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:54 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:55 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:55 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:41:58 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:17 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:22 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:26 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:26 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:27 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:27 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:29 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:32 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:33 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:34 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:35 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:43 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:43 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:43 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:43 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:45 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:46 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:48 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:51 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:52 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:52 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:52 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:52 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:53 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:53 ERR [API] json: unknown field "maxReorderedFrames"
2026/09/21 22:42:54 ERR [API] json: unknown field "maxReorderedFrames"
